STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
46,SD,017,46017,State Senate District 17,2680454472.3300,275544.6745040,44.36432608520,29209.85927200,183530.8035810,66.60655079300,3347707072.3900,80.06836961440,8573188752.960,31.26554832
46,SD,018,46018,State Senate District 18,1378440816.4000,162969.8441620,65.22034938710,20946.87828760,131613.0067190,80.75911675300,1482680608.3000,92.96950460430,2544872428.240,54.1654191
46,SD,019,46019,State Senate District 19,6784406383.5200,461182.8142220,40.08437542700,46470.90969470,291985.0903760,63.31222269600,9620679285.4900,70.51899540770,15487815133.400,43.80479961
46,SD,020,46020,State Senate District 20,4357235211.0000,309927.5912530,57.00330282140,37241.80736210,233996.9791810,75.50053166770,5170487600.1000,84.27126313800,9480713846.720,45.95893602
46,SD,021,46021,State Senate District 21,10473554322.0000,621054.6488210,34.12274438020,57739.40335810,362787.0643920,58.41467656360,14122918723.7000,74.15998439770,34914651009.300,29.99759132
46,SD,022,46022,State Senate District 22,5512987224.9100,339275.8516010,60.18532149290,41890.80827990,263207.4887680,77.57919920500,5809085704.5000,94.90283850760,13042835277.500,42.26831902
46,SD,023,46023,State Senate District 23,19108086148.5000,760211.1186530,41.54877783240,77989.08811250,490019.4786470,64.45834145590,26084697668.1000,73.25400658900,47396193113.300,40.31565595
46,SD,024,46024,State Senate District 24,11018653255.8000,503406.7493580,54.63864816110,59222.87755830,372107.9998170,73.91796003760,11992441259.7000,91.87998521060,20921227504.600,52.66733634
46,SD,025,46025,State Senate District 25,1122614316.5000,230353.6201140,26.58581571500,18903.42659800,118773.6319320,51.56143492480,1540847915.7100,72.85691891160,3386327097.700,33.1513845
46,SD,026,46026,State Senate District 26,17388247794.4000,812236.7683520,33.12073967960,74396.61182780,467447.3035040,57.55062091720,22485991785.9000,77.32924551410,39727682011.600,43.76859387
46,SD,027,46027,State Senate District 27,21011434726.1000,807702.4471920,40.47272146190,81781.12890800,513845.5535320,63.61817465310,23505153736.4000,89.39075643470,49030551371.500,42.85375983
46,SD,028,46028,State Senate District 28,36425720582.1000,1132815.1171300,35.66970989230,107678.58081500,676563.9054050,59.72412401410,44377971202.0000,82.08063504370,76153505228.500,47.83196843
46,SD,029,46029,State Senate District 29,10827001159.8000,533547.3957570,47.79381207260,58705.57399340,368857.6884040,69.13306884020,12684280341.0000,85.35763061620,17534516675.100,61.74678983
46,SD,030,46030,State Senate District 30,12196094790.0000,662384.3192430,34.93093437150,62306.82806560,391485.0159650,59.10239789680,16014588744.8000,76.15615351950,27812344398.200,43.85137267
46,SD,031,46031,State Senate District 31,2072795509.2200,222312.0204680,52.70357371270,25686.41391720,161392.3621960,72.59722702180,2273884529.6400,91.15658610630,3660247534.090,56.62992707
46,SD,032,46032,State Senate District 32,63976776.4621,44519.5620732,40.56300152190,4512.69959505,28354.1038416,63.68908974210,80660349.8045,79.31626458000,203114453.791,31.49789455
46,SD,033,46033,State Senate District 33,482645104.7340,177784.1072840,19.18896418210,12394.79076550,77878.7014420,43.80520994350,676711412.2720,71.32214648390,1042481331.690,46.29772161
46,SD,034,46034,State Senate District 34,43257985.1824,64418.0030534,13.09969757420,3710.72175870,23315.1327398,36.19350435390,75780353.9738,57.08337704170,125015602.218,34.60206919
46,SD,035,46035,State Senate District 35,121692909.3080,77118.2245676,25.71347223910,6223.83232664,39105.4587981,50.70845318000,185591246.9740,65.57039261940,397340448.978,30.62686158
47,TN,001,47001,State Senate District 1,3621333849.9800,531231.6567780,16.12538776190,33951.54398950,213323.6621640,40.15642882760,5219963338.5500,69.37469892240,8792410405.850,41.18704295
